,name,lat,long
0,Oradour-sur-Glane,45.9333,1.03078
1,Oberhaslach,48.55039,7.33213
2,Novalaise,45.5948,5.7776700000000005
3,Nieul-sur-Mer,46.20378,-1.1678
4,Neuilly-Saint-Front,49.17012,3.26393
5,Nercillac,45.71536,-0.24615
6,Navarrenx,43.3217,-0.75968
7,Nanterre,48.89198,2.20675
8,Mussig,48.22993,7.51963
9,Murviel-lès-Béziers,43.43333,3.13333
10,Mulsanne,47.91151,0.24826
11,Morsang-sur-Orge,48.66181,2.35338
12,Morestel,45.679,5.46479
13,Morcenx,44.03456,-0.9159100000000001
14,Mont-Saxonnex,46.0508,6.47429
15,Montrevel-en-Bresse,46.33527,5.12269
16,Montreuil,48.86415,2.44322
17,Montrabé,43.64477,1.52384
18,Montigny-le-Bretonneux,48.76636,2.03405
19,Montignac,45.06598,1.1608100000000001
20,Montgaillard,42.93539,1.63351
21,Monteux,44.03618,4.9963
22,Montauroux,43.61823,6.76528
23,Monbazillac,44.79386,0.49148000000000003
24,Moissy-Cramayel,48.62605,2.6012500000000003
25,Modane,45.20032,6.66871
26,Misérieux,45.97433,4.8134
27,Miniac-Morvan,48.51425,-1.8997600000000001
28,Mer,47.70555,1.50621
29,Les Martres-d'Artière,45.83333,3.26667
30,Marseillan,43.35674,3.52804
31,Marcheprime,44.69242,-0.85479
32,Mantes-la-Ville,48.97374,1.70253
33,Manom,49.37092,6.18345
34,Maing,50.30791,3.48447
35,Loué,47.99545,-0.15372000000000002
36,Longchamp,47.25973,5.28694
37,Locquémeau,48.72409,-3.56374
38,Lisle-sur-Tarn,43.85347,1.80983
39,Limoges,45.83362,1.24759
40,Limas,45.97558,4.7055
41,L'Haÿ-les-Roses,48.77935,2.33729
42,Lézan,44.01272,4.05053
43,Lexy,49.49996,5.72985
44,Le Tréport,50.05979,1.37583
45,Le Tallud,46.63068,-0.29759
46,Lestelle-Bétharram,43.13035,-0.20950000000000002
47,Les Pavillons-sous-Bois,48.90683,2.50648
48,Les Olives,43.32393,5.4584
49,Le Soler,42.68185,2.79305
50,Les Noës-près-Troyes,48.30358,4.04552
51,Les Houches,45.89267,6.80637
52,Les Hautes-Rivières,49.88595,4.8418600000000005
53,Les Chères,45.8896,4.74261
54,Le Porge,44.87307,-1.09251
55,Le Pallet,47.13842,-1.33609
56,Lens,50.43302,2.82791
57,Gond-Pontouvre,45.68333,0.16667
58,Lédignan,43.98857,4.10683
59,Le Coteau,46.01919,4.0923
60,Le Castellet,43.20291,5.77657
61,Lauterbourg,48.97515,8.17846
62,La Seyne-sur-Mer,43.10322,5.87816
63,La Salvetat-Peyralès,44.21984,2.20259
64,Lapoutroie,48.15398,7.16714
65,Lanvéoc,48.28799,-4.46277
66,La Motte-d'Aveillans,44.96015,5.74409
67,La Millère,43.28128,5.49804
68,La Loupe,48.4732,1.01585
69,Laissac,44.38097,2.82271
70,La Gaude,43.72209,7.15296
71,La Frette-sur-Seine,48.98057,2.17866
72,La Forêt-Fouesnant,47.90884,-3.97911
73,La Flamengrie,50.00175,3.9208100000000004
74,La Chapelle-Gauthier,48.54947,2.89776
75,La Barasse,43.28433,5.48664
76,Ingwiller,48.87284,7.4798
77,Hussigny-Godbrange,49.49437,5.86677
78,Husseren-Wesserling,47.88351,6.98994
79,Huisseau-sur-Cosson,47.59335,1.45333
80,Homblières,49.85031,3.36456
81,Hombleux,49.73942,2.98574
82,Hérouvillette,49.2213,-0.24348000000000003
83,Haussy,50.2183,3.47683
84,Hardricourt,49.00779,1.89389
85,Ham,49.74721,3.07301
86,Guipavas,48.43411,-4.40197
87,Guînes,50.86708,1.87025
88,Guillac,47.91096,-2.46651
89,Guignen,47.92092,-1.86298
90,Guern,48.03044,-3.09196
91,Guermantes,48.85303,2.70495
92,Guarbecque,50.61162,2.48895
93,Gruson,50.59583,3.20777
94,Grosbliederstroff,49.15808,7.02413
95,Grisolles,43.8292,1.2967300000000002
96,Grans,43.60862,5.0629
97,Gouvernes,48.86007,2.69074
98,Gorges,47.10112,-1.30267
99,Gonnehem,50.56061,2.5727700000000002
100,Gondrin,43.88499,0.23652
101,Gilette,43.84976,7.16346
102,Gergy,46.87557,4.94527
103,Gérardmer,48.07346,6.87787
104,Gennevilliers,48.93333,2.3
105,Garons,43.7682,4.42849
106,Fromelennes,50.12333,4.85952
107,Fresnoy-le-Grand,49.94757,3.41841
108,Frasne,46.85641,6.1594
